company,city,state,jobtitle,industry,companysize,python,R,SAS,SQL,JAVA,Tableau,C,Perl,Excel,DeepLearning,MATLAB,StatisticalModeling,MachineLearning,HIVE
T2 Biosystems,Lexington, MA,Medical Science Liaison (Boston),Biotech & Pharmaceuticals,51-200,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Snap Inc.,Los Angeles, CA,Data Scientist,Computer Hardware & Software,1001-5000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Boston Medical Center HealthNet Plan,Boston, MA,Data Analyst,Insurance Carriers,501-1000,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sage Therapeutics,Cambridge, MA,"Director Clinical Pharmacology, Medical Science",Biotech & Pharmaceuticals,51-200,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MHP - A Porsche Company,Atlanta, GA,(Senior) Consultant for Data Science,IT Services,1001-5000,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Moderna Therapeutics,Cambridge, MA,"Scientist, Data Science",Biotech & Pharmaceuticals,201-500,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"Amazon Web Services, Inc.",Atlanta, GA,Data Scientist - AWS Professional Services,#N/A,10000+,1,0,0,0,1,0,1,0,0,1,0,0,1,0
Iovation Inc,Portland, OR,Data Engineer,Internet,51-200,0,0,0,1,1,0,0,0,0,0,0,0,1,1
Clearlink,Salt Lake City, UT,Data Science & Software Development Internship,Advertising & Marketing,1001-5000,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Leidos,San Diego, CA,Data Analyst,Aerospace & Defense,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maverick trading,Honolulu, HI,"Entry Level Options Trader - Finance, Data, Analyst, Management - Work Remotely",Financial Analytics & Research,201-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GroupM,New York, NY,Data Scientist,Publishing,10000+,0,0,0,1,1,0,0,0,0,1,0,0,1,0
NBA,New York, NY,Data Scientist,Sports & Recreation,1001-5000,1,1,0,1,0,1,0,0,1,0,0,1,0,0
